year,cycle,abbr,dem,inc,midterm,senate,pres,pres_dem,pres_natl,generic,pres_avg,pres_level,level,ref_level
1996,3,MT,0.10332947216069573,1,FALSE,-1,1,-0.06752206038071111,0.18855667693894732,0,-0.01729618930542614,0.06898963539285244,0.10332947216069573,0.6787596143601942
1996,3,NC,-0.13670291005997542,0,FALSE,-1,1,-0.10128596782332079,0.18855667693894732,0,-0.16574736636174275,-0.018339085136731857,-0.13670291005997542,-0.18051935684496317
1996,NA,ND,NA,NA,NA,NA,NA,-0.1567730677016844,0.18855667693894732,0,-0.2834521544861205,-0.3176320142711241,NA,NA
1996,3,NE,-0.29842833393722834,0,FALSE,-1,1,-0.42863731530839844,0.18855667693894732,0,-0.4364765085609996,-0.4604347435429574,-0.29842833393722834,-0.6226150152511887
1996,3,NH,-0.06348647357050484,0,FALSE,-1,1,0.22541492315557382,0.18855667693894732,0,-0.2471499458951023,0.031864750133082306,-0.06348647357050484,-0.13031552157514903
1996,3,NJ,0.21329541257318296,0,FALSE,-1,1,0.4040816827718715,0.18855667693894732,0,-0.1024516692141747,0.05682802262885494,0.21329541257318296,-0.10535224907937638
1996,3,NM,-0.7761798517989693,-1,FALSE,-1,1,0.16131412755590663,0.18855667693894732,0,0.06101158476417577,0.2064160691181391,-0.7761798517989693,-1.1541619222795527
1996,NA,NV,NA,NA,NA,NA,NA,0.023462330447799502,0.18855667693894732,0,-0.1752906723010027,0.07302353293577564,NA,NA
1996,NA,NY,NA,NA,NA,NA,NA,0.7414840590531782,0.18855667693894732,0,0.3237197384387918,0.49425485530650004,NA,NA
1996,NA,OH,NA,NA,NA,NA,NA,0.14412694074066726,0.18855667693894732,0,-0.07851027332244415,0.04673503843564802,NA,NA
1996,3,OK,-0.3466387104838553,0,FALSE,-1,1,-0.17648099178572788,0.18855667693894732,0,-0.27427397702182715,-0.22583974800242987,-0.3466387104838553,-0.3880200197106612
1996,3,OR,-0.0814243156676411,0,FALSE,-1,1,0.18827885447995987,0.18855667693894732,0,0.1892185609660499,0.26692937053538524,-0.0814243156676411,0.10474909882715391
1996,NA,PA,NA,NA,NA,NA,NA,0.20718618830000674,0.18855667693894732,0,0.09607838547602666,0.22285899898181566,NA,NA
1996,3,RI,0.59393359436502,0,FALSE,-1,1,0.8003162867978763,0.18855667693894732,0,0.36760773712809125,0.48292031958723813,0.59393359436502,0.3207400478790068
