draw,seats,natl,AK,AL,AR,AZ,CO,DE,GA,GA-S,IA,ID,IL,KS,KY,LA,MA,ME,MI,MN,MS,MT,NC,NE,NH,NJ,NM,OK,OR,RI,SC,SD,TN,TX,VA,WV,WY
1,53,0.536478,0.458864,0.400549,0.513719,0.522789,0.566382,0.640936,0.490179,0.522877,0.467202,0.331235,0.631669,0.35019,0.433097,0.428585,0.646425,0.545907,0.56732,0.552243,0.386221,0.440737,0.503683,0.249834,0.555302,0.621046,0.537781,0.361,0.598741,0.698261,0.486631,0.434561,0.385075,0.453874,0.529051,0.383131,0.35022
2,50,0.554897,0.486381,0.409218,0.370817,0.497536,0.451132,0.716091,0.501546,0.444407,0.512292,0.342258,0.685735,0.471904,0.399121,0.408949,0.626235,0.542804,0.493828,0.56202,0.436149,0.49669,0.517119,0.360229,0.600263,0.64284,0.546,0.359453,0.604798,0.704414,0.434451,0.339942,0.457941,0.48013,0.620908,0.351619,0.346221
3,50,0.52911,0.466488,0.423316,0.512811,0.467501,0.551098,0.668246,0.507582,0.483998,0.493341,0.324201,0.640866,0.374425,0.444476,0.406249,0.632463,0.511503,0.503448,0.555603,0.41901,0.48224,0.478233,0.28384,0.558671,0.589684,0.494487,0.345931,0.589294,0.617503,0.447406,0.413986,0.410843,0.454232,0.536041,0.341678,0.25706
4,55,0.556082,0.493983,0.427608,0.444183,0.50081,0.526522,0.646028,0.538412,0.547465,0.507369,0.352042,0.664084,0.421913,0.490307,0.400259,0.651192,0.523694,0.524053,0.567385,0.457543,0.506987,0.519291,0.314155,0.59215,0.646451,0.562803,0.41293,0.617587,0.721672,0.478825,0.401693,0.44138,0.479317,0.603463,0.451988,0.312927
5,54,0.556893,0.456119,0.449562,0.363238,0.518957,0.557059,0.719721,0.532207,0.518394,0.476355,0.485167,0.645914,0.489889,0.459476,0.355801,0.612822,0.565638,0.598343,0.603864,0.442829,0.443071,0.557108,0.315978,0.632534,0.696558,0.520512,0.406181,0.59752,0.704063,0.502108,0.392858,0.346702,0.479018,0.621792,0.325358,0.34131
6,49,0.533607,0.49441,0.41431,0.446844,0.501197,0.515675,0.617258,0.497672,0.452587,0.492451,0.317125,0.634493,0.416998,0.445586,0.385342,0.706494,0.522695,0.519435,0.497702,0.47188,0.492989,0.51019,0.287327,0.493774,0.582065,0.573057,0.338342,0.660375,0.758918,0.459376,0.412311,0.489335,0.446874,0.560826,0.38726,0.329506
7,56,0.561394,0.525317,0.487171,0.315898,0.519488,0.550132,0.694615,0.557129,0.56091,0.466162,0.407781,0.687902,0.548819,0.533143,0.319545,0.695129,0.562792,0.609902,0.574602,0.496069,0.525808,0.486194,0.334147,0.611968,0.712568,0.572224,0.489843,0.604121,0.724205,0.490175,0.469635,0.420979,0.471558,0.62765,0.368834,0.276859
8,55,0.539115,0.481894,0.452452,0.388424,0.496713,0.592832,0.628871,0.536613,0.550584,0.54895,0.436498,0.692793,0.433868,0.477942,0.367905,0.713955,0.524556,0.546624,0.569448,0.485709,0.529248,0.505816,0.347185,0.570151,0.665171,0.507169,0.408534,0.655698,0.713461,0.520277,0.425171,0.442151,0.429622,0.556007,0.358705,0.317461
9,52,0.543258,0.436137,0.40411,0.353824,0.515046,0.555257,0.687438,0.496385,0.484057,0.470395,0.356422,0.593746,0.445602,0.410311,0.465799,0.624994,0.588505,0.570294,0.573251,0.452195,0.430045,0.541517,0.301379,0.608008,0.607861,0.561896,0.307605,0.505021,0.772788,0.46453,0.41535,0.37639,0.514669,0.613669,0.355405,0.262889
10,50,0.534084,0.393952,0.420901,0.381214,0.48995,0.533169,0.70915,0.503421,0.435883,0.488764,0.37597,0.681016,0.41813,0.386943,0.337003,0.62208,0.537024,0.572013,0.576279,0.396587,0.445228,0.466454,0.323438,0.546848,0.65281,0.601297,0.375314,0.617367,0.705768,0.411852,0.376175,0.393081,0.454973,0.599093,0.348072,0.301024
11,56,0.544667,0.532374,0.501557,0.482481,0.558592,0.53939,0.60825,0.556008,0.590984,0.487217,0.279712,0.61683,0.455957,0.550503,0.367025,0.676865,0.504503,0.56684,0.51133,0.4784,0.507084,0.469928,0.340036,0.614184,0.640367,0.495869,0.39981,0.604681,0.738994,0.522622,0.443494,0.477386,0.46163,0.587846,0.448015,0.310565
12,56,0.544358,0.513497,0.420563,0.336857,0.519943,0.557947,0.749281,0.536955,0.477742,0.537936,0.520001,0.706157,0.459211,0.402433,0.430866,0.66751,0.574496,0.59284,0.635211,0.450299,0.438717,0.545357,0.309411,0.603369,0.680228,0.587771,0.395932,0.635159,0.736695,0.519372,0.387444,0.434652,0.450275,0.644606,0.341027,0.341663
13,57,0.549092,0.473326,0.52239,0.456673,0.54021,0.551634,0.632165,0.519925,0.57082599999999994,0.464535,0.287536,0.693026,0.479905,0.545243,0.370498,0.70394,0.508616,0.569593,0.507505,0.479193,0.550911,0.515005,0.321349,0.618933,0.651793,0.551229,0.392196,0.604901,0.717363,0.476982,0.434061,0.44926,0.505355,0.601728,0.426307,0.337324
14,50,0.542556,0.461007,0.495858,0.403817,0.530499,0.549002,0.631663,0.505831,0.548517,0.485249,0.338469,0.643694,0.46195,0.463612,0.346754,0.621824,0.473143,0.572122,0.4894,0.433545,0.568278,0.487685,0.315773,0.585182,0.684386,0.497148,0.394102,0.642038,0.71126,0.425643,0.386935,0.410806,0.493623,0.631141,0.421363,0.338104
15,50,0.537676,0.484816,0.468989,0.382841,0.514531,0.59869000000000006,0.643555,0.48168,0.512984,0.49307,0.286846,0.670188,0.446559,0.401594,0.341819,0.631575,0.458158,0.571183,0.523991,0.455058,0.525378,0.464315,0.295519,0.589699,0.659,0.473998,0.390896,0.65489,0.679811,0.422538,0.337227,0.431774,0.440043,0.632233,0.40506,0.346407
16,53,0.547149,0.499116,0.399973,0.473974,0.531406,0.514399,0.68401,0.549084,0.492265,0.49437,0.42633,0.689448,0.463715,0.490414,0.40662,0.73367,0.604831,0.58545,0.614738,0.457749,0.407167,0.548324,0.313926,0.618853,0.632621,0.615596,0.395622,0.531628,0.790176,0.512102,0.486578,0.388645,0.486941,0.538018,0.37577,0.313253
17,53,0.536017,0.535065,0.442168,0.453394,0.538717,0.499029,0.652138,0.543403,0.443075,0.433834,0.376482,0.65919,0.421579,0.456235,0.374367,0.758772,0.555314,0.597244,0.566719,0.482646,0.454157,0.52943,0.310179,0.573382,0.671058,0.569625,0.417584,0.604011,0.707003,0.473935,0.483342,0.407689,0.502597,0.565123,0.393561,0.399629
18,58,0.556739,0.548848,0.452003,0.376088,0.54429,0.539053,0.753006,0.613454,0.579575,0.536709,0.335696,0.744418,0.535344,0.505658,0.44699,0.721609,0.551861,0.566935,0.644508,0.484086,0.493174,0.530214,0.282104,0.634931,0.672437,0.507986,0.396327,0.585361,0.761611,0.487995,0.405018,0.423853,0.526808,0.616972,0.435025,0.392902
19,55,0.553928,0.541964,0.464259,0.477598,0.514693,0.589234,0.688192,0.553445,0.511077,0.468288,0.443933,0.618441,0.470079,0.434018,0.362983,0.706164,0.540485,0.589955,0.58248200000000006,0.484099,0.498482,0.565045,0.404027,0.628531,0.650431,0.610596,0.386021,0.702672,0.672643,0.457904,0.474965,0.358124,0.509122,0.61894,0.357316,0.385181
20,54,0.526591,0.451719,0.465894,0.367042,0.53125,0.524569,0.711006,0.523827,0.567115,0.534385,0.370011,0.726829,0.4838,0.48206,0.422506,0.641984,0.508975,0.564537,0.597921,0.508759,0.437247,0.46754,0.260227,0.638272,0.658243,0.541227,0.415149,0.643159,0.753982,0.478617,0.355678,0.46896,0.439321,0.585734,0.351303,0.355683
21,54,0.55192,0.468762,0.414451,0.385354,0.537188,0.540752,0.681908,0.500394,0.584212,0.525424,0.421019,0.673323,0.422066,0.503872,0.446118,0.698719,0.492955,0.578437,0.604164,0.529647,0.467895,0.478469,0.350739,0.692409,0.711767,0.57715,0.426175,0.639854,0.736191,0.484759,0.390534,0.421618,0.447621,0.584862,0.396481,0.364945
22,52,0.546035,0.487745,0.448671,0.449976,0.518064,0.550199,0.718377,0.455244,0.405269,0.515913,0.370334,0.632758,0.477292,0.410374,0.413075,0.666769,0.519259,0.577827,0.518824,0.47829700000000003,0.387672,0.573473,0.261076,0.560909,0.585263,0.517687,0.347549,0.550537,0.80078,0.428325,0.387696,0.384216,0.390873,0.53832,0.381989,0.280083
23,50,0.551019,0.472192,0.474346,0.310717,0.54665,0.547682,0.72539,0.498723,0.415451,0.462759,0.392306,0.632952,0.463854,0.445263,0.406698,0.665678,0.506039,0.577478,0.576965,0.485474,0.448073,0.551544,0.250549,0.605448,0.63233,0.490015,0.367572,0.593765,0.788791,0.466077,0.351759,0.395863,0.423437,0.533346,0.381889,0.372651
24,53,0.541861,0.473388,0.411963,0.559633,0.555945,0.551378,0.663044,0.487898,0.561524,0.43991,0.310073,0.717186,0.551638,0.387922,0.433109,0.627876,0.538273,0.551852,0.498849,0.443221,0.476628,0.526749,0.262115,0.647837,0.746518,0.527854,0.387039,0.611904,0.74572,0.483976,0.400473,0.399151,0.439028,0.663324,0.355957,0.35265
25,53,0.554625,0.550431,0.435875,0.36877,0.47529,0.510341,0.733662,0.493932,0.562188,0.516162,0.328575,0.681998,0.473392,0.466779,0.417161,0.719195,0.522273,0.52333,0.575142,0.464745,0.502503,0.489002,0.268363,0.557339,0.590038,0.527847,0.377276,0.59142,0.717157,0.413858,0.403933,0.438897,0.432631,0.590254,0.376665,0.323801
26,53,0.556434,0.555443,0.431298,0.469761,0.581783,0.532604,0.667527,0.55557,0.471827,0.437154,0.35976,0.691202,0.469191,0.49954,0.3806,0.672594,0.551341,0.589133,0.521252,0.470577,0.541006,0.535675,0.289819,0.599057,0.657073,0.497491,0.440583,0.603454,0.722509,0.439101,0.412129,0.481269,0.493492,0.632971,0.445383,0.292122
27,50,0.54386,0.468436,0.445701,0.300943,0.493946,0.518907,0.579576,0.49378,0.532749,0.540369,0.332364,0.646178,0.419557,0.450236,0.404004,0.65001,0.492999,0.523309,0.559981,0.393351,0.482248,0.498057,0.305738,0.522265,0.640709,0.474688,0.367297,0.622533,0.749947,0.41046,0.380398,0.47252,0.533545,0.555651,0.352223,0.329351
28,47,0.534623,0.43378100000000003,0.390398,0.402031,0.487727,0.511805,0.595022,0.43783300000000003,0.486725,0.488593,0.267103,0.669524,0.418709,0.398776,0.371442,0.642306,0.49177,0.445244,0.544114,0.378497,0.469317,0.464139,0.301456,0.511597,0.624275,0.522895,0.279553,0.581974,0.659849,0.455192,0.406177,0.420477,0.482247,0.571401,0.309229,0.318211
29,54,0.541053,0.504281,0.437051,0.478798,0.515276,0.542993,0.74012,0.571755,0.449641,0.459831,0.309994,0.681697,0.445407,0.410501,0.421512,0.631996,0.531574,0.650576,0.567969,0.51952,0.451471,0.590126,0.25577,0.611172,0.672456,0.610278,0.433611,0.619654,0.741263,0.421524,0.398224,0.394536,0.438246,0.588943,0.437735,0.286606
30,52,0.536437,0.443131,0.480688,0.301893,0.516529,0.57374,0.696404,0.475314,0.545103,0.539176,0.378512,0.631288,0.413512,0.487337,0.34588,0.690241,0.555473,0.472539,0.551989,0.429577,0.538716,0.476421,0.358462,0.558893,0.627265,0.511017,0.347856,0.644505,0.732677,0.486277,0.392096,0.431253,0.492282,0.600455,0.347815,0.372893
31,57,0.550208,0.526785,0.468134,0.255854,0.514824,0.581713,0.689931,0.515469,0.525163,0.532184,0.359916,0.5914,0.428381,0.532977,0.341078,0.72433,0.541031,0.530012,0.569412,0.460458,0.503084,0.453462,0.34393,0.605511,0.639747,0.538691,0.407123,0.596958,0.768782,0.473519,0.473141,0.492972,0.539935,0.624539,0.430244,0.28686
32,51,0.533779,0.486606,0.415798,0.593409,0.486079,0.458487,0.692699,0.529135,0.453244,0.458679,0.359754,0.712784,0.425471,0.397686,0.389961,0.627241,0.517254,0.510602,0.51078,0.423409,0.436506,0.504725,0.282099,0.569299,0.673897,0.572707,0.391291,0.623817,0.749173,0.432717,0.329372,0.360702,0.376926,0.591399,0.291249,0.353911
33,52,0.55957,0.461846,0.411909,0.291998,0.514449,0.523166,0.645046,0.428519,0.512842,0.470063,0.339749,0.57663,0.440733,0.465897,0.432324,0.690978,0.545743,0.570227,0.540522,0.417681,0.489103,0.470788,0.297131,0.559036,0.595862,0.510082,0.373427,0.585532,0.737277,0.535971,0.45027,0.422466,0.460598,0.557319,0.472268,0.315656
34,53,0.543256,0.51947,0.395468,0.487628,0.533457,0.538218,0.650403,0.485403,0.539556,0.471083,0.273572,0.647998,0.44646,0.466455,0.445605,0.697179,0.534823,0.58395,0.557771,0.440123,0.521876,0.499405,0.303468,0.578387,0.651187,0.515534,0.407887,0.55843,0.80784,0.468542,0.384583,0.395727,0.442006,0.584294,0.323637,0.339258
35,51,0.531233,0.495785,0.38432500000000003,0.387189,0.502956,0.543582,0.676365,0.449336,0.484921,0.426236,0.279255,0.635377,0.444755,0.446243,0.396489,0.697713,0.522943,0.556123,0.541907,0.46379,0.48405,0.500453,0.293148,0.59385,0.619414,0.50079,0.398076,0.566673,0.838184,0.468153,0.360578,0.390605,0.450302,0.550043,0.311677,0.336968
36,53,0.545914,0.443174,0.45676,0.410803,0.509084,0.495703,0.70126,0.528914,0.523376,0.530208,0.369584,0.676977,0.45365,0.421787,0.363559,0.642902,0.567691,0.514122,0.558216,0.463995,0.49506,0.512372,0.318426,0.524044,0.694479,0.564988,0.366984,0.571697,0.665574,0.456443,0.422976,0.411134,0.41789,0.631437,0.345175,0.311802
37,50,0.544847,0.509156,0.392093,0.433839,0.455144,0.553389,0.673333,0.511498,0.470796,0.473142,0.389566,0.603066,0.453166,0.423618,0.383999,0.690683,0.475799,0.578866,0.558764,0.441402,0.410438,0.524201,0.268088,0.599179,0.592923,0.491212,0.360217,0.664214,0.794596,0.471813,0.380099,0.392183,0.46616,0.501526,0.379867,0.309755
38,54,0.537737,0.465115,0.479283,0.54478,0.555276,0.492374,0.654513,0.511388,0.53249,0.500011,0.346517,0.699025,0.46259,0.425013,0.404526,0.67656,0.60675,0.561549,0.546001,0.482509,0.550356,0.481679,0.36694,0.554879,0.686638,0.576492,0.438233,0.575152,0.729069,0.461472,0.454018,0.42661,0.464966,0.650396,0.34321,0.366735
39,48,0.536949,0.481079,0.414546,0.354902,0.477034,0.54637,0.674522,0.469504,0.461256,0.472218,0.353283,0.668699,0.399007,0.443474,0.371473,0.654919,0.459541,0.53888,0.561813,0.414336,0.421283,0.488827,0.245011,0.592943,0.588625,0.524975,0.344796,0.660127,0.73648,0.475852,0.334352,0.367261,0.424959,0.521289,0.398197,0.287309
40,52,0.524351,0.471459,0.47177,0.424684,0.509244,0.54495,0.605749,0.441029,0.590064,0.480844,0.284509,0.65732,0.419773,0.431153,0.401659,0.650064,0.576778,0.598665,0.548183,0.459391,0.550058,0.476651,0.325626,0.517012,0.693712,0.560814,0.322016,0.623317,0.604223,0.453183,0.463493,0.4435,0.469104,0.605792,0.414449,0.297007
41,57,0.56726,0.504446,0.460595,0.338114,0.591075,0.570482,0.72858,0.578688,0.511606,0.515182,0.423838,0.688628,0.48547,0.434109,0.43224,0.734717,0.504842,0.611458,0.615113,0.541654,0.519919,0.542512,0.26533,0.658969,0.628562,0.557219,0.40117,0.636368,0.785598,0.493746,0.424572,0.411039,0.495546,0.619038,0.414202,0.281296
42,52,0.523399,0.466847,0.421717,0.523338,0.511952,0.519616,0.658605,0.508776,0.497751,0.520084,0.389401,0.711307,0.386643,0.446895,0.418177,0.7199,0.492155,0.553271,0.514782,0.462414,0.444366,0.495238,0.294092,0.598495,0.67407,0.546888,0.359308,0.639739,0.710106,0.493542,0.463876,0.456676,0.437423,0.592742,0.379611,0.322284
43,54,0.55622,0.50853,0.440559,0.27586,0.552359,0.588085,0.68904,0.492006,0.436408,0.460605,0.3282,0.700664,0.465483,0.456277,0.369148,0.642398,0.530354,0.615161,0.607701,0.458256,0.5032,0.527289,0.275642,0.578955,0.65215,0.552285,0.379189,0.622219,0.772221,0.477013,0.35202,0.324407,0.506242,0.599903,0.421875,0.386835
44,53,0.530438,0.433755,0.473101,0.53913,0.516334,0.583568,0.666649,0.518496,0.527279,0.527218,0.41847,0.607926,0.482736,0.476214,0.310791,0.662486,0.496248,0.535929,0.555823,0.476654,0.438747,0.532449,0.32988,0.591675,0.678923,0.494667,0.360943,0.58912,0.636648,0.490177,0.424383,0.461004,0.457927,0.603576,0.382886,0.24969
45,53,0.525087,0.408036,0.478151,0.520757,0.52275,0.579469,0.689591,0.502897,0.494089,0.513346,0.413061,0.577405,0.415331,0.458344,0.314812,0.67597,0.503355,0.542573,0.539474,0.476659,0.423958,0.51809,0.33395,0.556057,0.660732,0.460713,0.328125,0.557085,0.663835,0.495312,0.411159,0.415027,0.451169,0.609434,0.382016,0.241684
46,52,0.561805,0.519894,0.422211,0.371879,0.510973,0.468469,0.678559,0.516472,0.482053,0.480427,0.335811,0.696124,0.46773,0.411642,0.496739,0.64105,0.556167,0.577461,0.577726,0.454365,0.545426,0.488325,0.293816,0.624345,0.640206,0.639503,0.467106,0.663456,0.762083,0.472851,0.410287,0.383736,0.46372,0.575576,0.407416,0.414321
47,52,0.564254,0.526063,0.449212,0.483851,0.509417,0.477936,0.673749,0.538117,0.484598,0.479129,0.351237,0.701873,0.474056,0.427593,0.476186,0.683661,0.551699,0.604556,0.575292,0.447234,0.515586,0.483171,0.301731,0.602625,0.627761,0.625027,0.425001,0.642847,0.757672,0.472357,0.397271,0.403709,0.470919,0.591045,0.42312,0.379886
48,52,0.562402,0.538098,0.423321,0.517739,0.51184,0.465799,0.695961,0.550458,0.48003,0.490476,0.369823,0.694062,0.486096,0.421637,0.465134,0.665727,0.53063,0.604925,0.588151,0.431048,0.498141,0.487904,0.300106,0.600231,0.648794,0.638176,0.39666,0.65788,0.72096,0.469085,0.418297,0.414471,0.472617,0.611105,0.40208,0.368508
49,50,0.523603,0.428746,0.433845,0.194841,0.493192,0.475689,0.727397,0.521093,0.517825,0.460763,0.432584,0.639204,0.419788,0.397869,0.351647,0.607807,0.451605,0.553528,0.509401,0.452967,0.453387,0.534055,0.269678,0.567756,0.611671,0.560416,0.347877,0.521283,0.731627,0.467505,0.435643,0.38607,0.452665,0.607709,0.306828,0.305658
50,51,0.534733,0.455734,0.448745,0.311533,0.514388,0.481468,0.713369,0.540697,0.535769,0.486768,0.451032,0.647224,0.451434,0.44388,0.410516,0.61158,0.478774,0.570822,0.526824,0.465959,0.467195,0.566028,0.280032,0.567703,0.620486,0.560369,0.374948,0.518816,0.733922,0.491771,0.434718,0.440691,0.477714,0.620622,0.330557,0.329362
51,51,0.543316,0.466057,0.469881,0.532385,0.48322,0.497333,0.669524,0.568193,0.4613,0.486875,0.34654,0.713412,0.494088,0.494853,0.398288,0.636156,0.504514,0.569744,0.596267,0.432604,0.427449,0.530812,0.314124,0.534355,0.722698,0.656931,0.424078,0.651191,0.529576,0.475377,0.401313,0.448784,0.426084,0.649522,0.377462,0.329729
52,55,0.5685,0.521235,0.467235,0.345233,0.500725,0.547879,0.65912,0.578053,0.536789,0.530488,0.421333,0.664558,0.433983,0.467867,0.367089,0.67748,0.519231,0.593975,0.59096,0.407797,0.495375,0.523096,0.322564,0.557839,0.700572,0.621943,0.420107,0.660892,0.786149,0.45044,0.445261,0.403206,0.492099,0.630364,0.348537,0.311084
53,49,0.527365,0.509469,0.390529,0.318131,0.512585,0.487838,0.677317,0.48261,0.434235,0.494624,0.337177,0.680266,0.418227,0.419242,0.402469,0.634963,0.548303,0.554558,0.458106,0.415374,0.467781,0.534139,0.314618,0.581112,0.655903,0.462464,0.369479,0.556818,0.810009,0.483065,0.449141,0.405666,0.471921,0.583222,0.373702,0.347786
54,56,0.553749,0.468382,0.542749,0.416362,0.527785,0.633643,0.732311,0.557085,0.559684,0.497375,0.407587,0.698671,0.487869,0.472411,0.40072,0.699117,0.576884,0.591937,0.672294,0.532974,0.504133,0.516773,0.294339,0.582985,0.66588,0.645902,0.406092,0.709799,0.637884,0.447975,0.391962,0.433506,0.43461,0.631192,0.43678,0.303334
55,52,0.528889,0.519617,0.424012,0.338987,0.570785,0.510935,0.688853,0.45743,0.487241,0.507975,0.324619,0.6517,0.488508,0.422989,0.343541,0.646721,0.543313,0.512496,0.550436,0.475039,0.45011,0.452524,0.288248,0.584667,0.674378,0.495702,0.361596,0.612718,0.833725,0.513841,0.457778,0.372657,0.441739,0.668901,0.327569,0.321854
56,49,0.545691,0.488701,0.486304,0.46211,0.484381,0.564096,0.63564,0.575279,0.429523,0.479818,0.442201,0.680694,0.424638,0.415128,0.386725,0.643546,0.575083,0.477308,0.566262,0.450666,0.487858,0.43261,0.291527,0.582362,0.637148,0.566849,0.377747,0.599122,0.558211,0.430042,0.362117,0.359867,0.476923,0.581121,0.384287,0.273831
57,53,0.544982,0.485109,0.400175,0.414124,0.549875,0.539083,0.724942,0.47706,0.58753,0.50315,0.274365,0.652729,0.470648,0.487808,0.379448,0.723358,0.491441,0.656143,0.572709,0.485946,0.491322,0.583825,0.300029,0.579689,0.688095,0.551644,0.384244,0.626441,0.869004,0.533642,0.415195,0.488997,0.455811,0.602786,0.3563,0.34363
58,50,0.523781,0.468249,0.44059,0.408542,0.451254,0.46262,0.627322,0.501452,0.483487,0.512232,0.263602,0.678071,0.427075,0.420006,0.376299,0.63817,0.495003,0.584126,0.575994,0.447115,0.497432,0.527348,0.258779,0.565305,0.619059,0.537955,0.341704,0.666907,0.649885,0.446258,0.380487,0.452838,0.430533,0.611361,0.35562,0.303556
59,55,0.554649,0.478809,0.447217,0.266761,0.547891,0.489623,0.700794,0.544484,0.55737,0.500583,0.341698,0.715793,0.42198,0.437587,0.40274,0.642314,0.535263,0.608025,0.629523,0.489145,0.530905,0.563738,0.286353,0.604992,0.668131,0.501092,0.386547,0.651866,0.771809,0.479723,0.464936,0.47474,0.526606,0.603837,0.380644,0.374017
60,57,0.549431,0.51042,0.452331,0.518947,0.546364,0.57955,0.693842,0.528463,0.584792,0.535788,0.408114,0.665546,0.405792,0.523653,0.32834,0.69213,0.558959,0.547202,0.515097,0.478759,0.481039,0.511038,0.309801,0.591685,0.664511,0.580198,0.413165,0.632243,0.694006,0.403523,0.432742,0.390585,0.4811,0.6174,0.418083,0.323902
61,48,0.534155,0.452607,0.458087,0.2429,0.490272,0.4944,0.662206,0.499842,0.435868,0.459159,0.269098,0.661536,0.447911,0.380579,0.411876,0.6266,0.489341,0.580729,0.613948,0.389791,0.438008,0.466961,0.258238,0.581564,0.644403,0.529148,0.391532,0.608054,0.738286,0.547222,0.394733,0.45971,0.443082,0.552303,0.383704,0.368536
62,53,0.529806,0.464426,0.443771,0.520704,0.463253,0.499869,0.715149,0.564886,0.504572,0.459585,0.299855,0.649825,0.413697,0.461613,0.387628,0.665832,0.526148,0.4999,0.543263,0.394795,0.500625,0.473428,0.291571,0.596452,0.600724,0.630121,0.384852,0.613973,0.749986,0.508711,0.344777,0.404045,0.507976,0.569001,0.411061,0.302969
63,55,0.548972,0.469597,0.454131,0.296752,0.518995,0.533756,0.692323,0.614157,0.514318,0.441899,0.339257,0.649115,0.445845,0.446023,0.422463,0.628098,0.577077,0.567326,0.503784,0.482316,0.560219,0.511118,0.326973,0.562456,0.645653,0.475775,0.378631,0.598223,0.73289,0.511273,0.44041400000000003,0.432181,0.500742,0.61286,0.398182,0.376398
64,52,0.539543,0.500038,0.433704,0.449344,0.515906,0.551126,0.679927,0.449894,0.444141,0.535498,0.373754,0.669551,0.439361,0.436977,0.370567,0.682808,0.503981,0.566736,0.650567,0.439163,0.384599,0.480092,0.295238,0.614486,0.637689,0.593945,0.378421,0.62591,0.703405,0.421264,0.353958,0.380524,0.438678,0.560508,0.359359,0.27207
65,49,0.542838,0.497167,0.430238,0.40844,0.498358,0.511594,0.608216,0.495702,0.473854,0.541782,0.355187,0.721527,0.490812,0.491259,0.398818,0.701459,0.478689,0.543695,0.613914,0.457984,0.42237,0.475631,0.295517,0.600009,0.586323,0.587473,0.357767,0.638007,0.796126,0.389327,0.39111,0.40278,0.452763,0.633142,0.42777,0.276163
66,48,0.52048,0.475465,0.36916,0.414667,0.499548,0.443392,0.637772,0.44346,0.416865,0.523314,0.302229,0.657427,0.468061,0.382937,0.347575,0.68185,0.484048,0.548321,0.538436,0.475392,0.428534,0.447171,0.266207,0.56436,0.591277,0.540582,0.329203,0.608808,0.68261,0.379262,0.36112,0.428493,0.433576,0.572631,0.354167,0.278427
67,50,0.535363,0.499912,0.394465,0.362649,0.512356,0.443624,0.647938,0.49583700000000003,0.505101,0.531386,0.299894,0.684455,0.426881,0.46209,0.294393,0.651319,0.494659,0.524972,0.528795,0.450371,0.398075,0.456244,0.277395,0.598559,0.627339,0.528772,0.389876,0.592877,0.598158,0.437058,0.37362,0.400063,0.44524,0.549833,0.38139,0.313849
68,53,0.548996,0.46582,0.47497,0.367149,0.533223,0.646945,0.707707,0.496162,0.497359,0.436386,0.419857,0.657036,0.462157,0.429383,0.437689,0.699409,0.574675,0.594353,0.604096,0.456782,0.574912,0.532048,0.314315,0.581427,0.665005,0.570978,0.35161,0.644456,0.840067,0.530419,0.447345,0.420115,0.470456,0.633723,0.376725,0.316522
69,57,0.565687,0.51384,0.453213,0.472194,0.510569,0.605976,0.673653,0.569523,0.483353,0.543974,0.447553,0.688208,0.439771,0.440568,0.443955,0.679902,0.54299,0.590666,0.631212,0.498441,0.506528,0.538897,0.332369,0.622002,0.675615,0.582055,0.368095,0.646891,0.634421,0.509947,0.417984,0.505069,0.458795,0.603061,0.347369,0.42746
70,55,0.538485,0.494329,0.422197,0.303209,0.509842,0.541072,0.692001,0.473834,0.509911,0.433733,0.384418,0.649674,0.517406,0.462239,0.440794,0.678894,0.551785,0.570171,0.603474,0.495841,0.534578,0.519554,0.314988,0.610644,0.666174,0.579972,0.425809,0.587193,0.790542,0.482866,0.440857,0.467546,0.530198,0.621466,0.360651,0.324756
71,58,0.56361000000000006,0.569564,0.464533,0.443302,0.53386,0.547823,0.690809,0.556549,0.527026,0.577286,0.424984,0.695676,0.485511,0.477961,0.509731,0.720457,0.555407,0.561112,0.560359,0.554925,0.537843,0.596025,0.293897,0.602274,0.67349,0.54867,0.391816,0.655361,0.704631,0.478992,0.460103,0.482143,0.45949,0.700001,0.397544,0.36723
72,55,0.553096,0.576599,0.472664,0.236779,0.486957,0.582368,0.68198,0.54689,0.493484,0.525425,0.341147,0.71451,0.479783,0.519633,0.472672,0.734792,0.544973,0.539809,0.562922,0.510311,0.493992,0.52492,0.394222,0.557895,0.672474,0.556543,0.349016,0.625776,0.80539,0.452256,0.480637,0.39189,0.452776,0.640534,0.319141,0.342034
73,55,0.543479,0.421763,0.419043,0.552649,0.583855,0.534454,0.687217,0.50386,0.566428,0.473592,0.38148,0.670283,0.45959,0.412122,0.359699,0.63007,0.58478,0.605715,0.58237,0.448363,0.469987,0.545851,0.24069,0.662614,0.645144,0.553467,0.446341,0.637182,0.67572,0.553516,0.356642,0.408446,0.461681,0.559051,0.421904,0.305567
74,50,0.541834,0.402138,0.432165,0.271113,0.575301,0.530092,0.689446,0.497828,0.442028,0.43463,0.350325,0.716125,0.441678,0.364153,0.400258,0.667672,0.544531,0.54704,0.527826,0.478385,0.431867,0.487099,0.290715,0.533682,0.651032,0.552893,0.353926,0.597602,0.835861,0.469947,0.42602,0.356426,0.405976,0.584151,0.335274,0.322982
75,54,0.531498,0.512107,0.468851,0.465199,0.527038,0.565753,0.621565,0.515577,0.514406,0.439472,0.364209,0.713924,0.446502,0.441471,0.314548,0.607803,0.580193,0.578441,0.535744,0.505303,0.464192,0.473498,0.325899,0.590835,0.624888,0.584263,0.409142,0.548285,0.647857,0.436059,0.399774,0.35731,0.435821,0.62802,0.31222,0.28598
