draw,seats,natl,AK,AL,AR,AZ,CO,DE,GA,GA-S,IA,ID,IL,KS,KY,LA,MA,ME,MI,MN,MS,MT,NC,NE,NH,NJ,NM,OK,OR,RI,SC,SD,TN,TX,VA,WV,WY
2512,60,0.555821,0.565815,0.412744,0.296147,0.626752,0.530227,0.76969,0.540062,0.533234,0.502455,0.426854,0.736249,0.504525,0.428975,0.443491,0.676155,0.579549,0.605316,0.603817,0.548476,0.572541,0.508781,0.324054,0.595422,0.73445800000000006,0.524575,0.450192,0.593783,0.659919,0.506074,0.403724,0.449534,0.547504,0.620788,0.406095,0.406963
2513,51,0.530959,0.409762,0.45605,0.496314,0.398952,0.536796,0.602901,0.512572,0.450428,0.476039,0.284071,0.559523,0.389299,0.479237,0.341435,0.641949,0.51068499999999994,0.517845,0.523898,0.391,0.361794,0.510124,0.337768,0.583053,0.575161,0.558735,0.310941,0.622256,0.800166,0.46713,0.414747,0.390788,0.401142,0.575289,0.311407,0.297798
2514,59,0.573464,0.502302,0.48834,0.312621,0.648144,0.550987,0.752912,0.542682,0.578688,0.510765,0.332789,0.687011,0.509621,0.513261,0.426365,0.683304,0.598825,0.573487,0.589241,0.483109,0.467856,0.548747,0.30878,0.623771,0.66714,0.551183,0.416354,0.642967,0.668121,0.553215,0.476763,0.452648,0.516131,0.584587,0.393288,0.333486
2515,56,0.557555,0.515888,0.510133,0.285941,0.635264,0.521903,0.675605,0.540217,0.53916,0.474136,0.354727,0.635215,0.45607,0.453432,0.416123,0.709925,0.586959,0.575785,0.537972,0.486687,0.492673,0.529731,0.323349,0.64626,0.667576,0.536392,0.389084,0.684088,0.770151,0.518396,0.403291,0.401811,0.479726,0.61534199999999994,0.44659,0.323164
2516,49,0.526594,0.461887,0.370278,0.495921,0.437343,0.524925,0.652322,0.535688,0.431214,0.494279,0.361829,0.667634,0.451787,0.470539,0.348163,0.672926,0.493522,0.568919,0.570477,0.40983,0.444131,0.48072,0.31868,0.538747,0.637664,0.553233,0.410688,0.565055,0.709668,0.450605,0.385332,0.427129,0.424652,0.602998,0.334481,0.291586
2517,54,0.55663,0.464968,0.511455,0.328242,0.554506,0.559534,0.660359,0.489707,0.526075,0.44259,0.328892,0.625129,0.447774,0.40865,0.421427,0.649226,0.573868,0.527097,0.534403,0.46964,0.501464,0.564968,0.291502,0.603568,0.61254,0.49621,0.347184,0.65649,0.748058,0.491352,0.419999,0.374703,0.511036,0.605182,0.444489,0.308373
2518,52,0.532969,0.472059,0.466316,0.378695,0.451978,0.54301,0.71711,0.489622,0.52374,0.535731,0.302336,0.647347,0.450873,0.434065,0.329404,0.687024,0.548405,0.60304,0.555938,0.487534,0.426666,0.453104,0.315899,0.558292,0.620691,0.550497,0.368149,0.668594,0.616361,0.501295,0.295086,0.405699,0.495233,0.524277,0.324067,0.414689
2519,52,0.544356,0.479641,0.404057,0.392564,0.578649,0.502351,0.618477,0.477728,0.447414,0.446052,0.413726,0.667353,0.419593,0.436375,0.451051,0.648412,0.518498,0.522971,0.57324,0.448217,0.489972,0.528966,0.251059,0.617436,0.671888,0.513578,0.413616,0.558793,0.806458,0.424623,0.503936,0.401523,0.430514,0.63501,0.348642,0.29897
2520,52,0.549122,0.513929,0.44662,0.332133,0.49292,0.540734,0.597944,0.51693,0.461206,0.453371,0.323143,0.653277,0.346435,0.448061,0.311931,0.609744,0.539524,0.546419,0.555488,0.479436,0.456175,0.536166,0.223077,0.613674,0.58204,0.55004,0.319131,0.571258,0.647064,0.416323,0.417543,0.364154,0.425542,0.641966,0.309869,0.268759
2521,50,0.545661,0.503921,0.454377,0.342911,0.478023,0.501869,0.560714,0.498615,0.438444,0.447437,0.327645,0.623,0.360362,0.432585,0.332877,0.627447,0.532824,0.503455,0.544251,0.474291,0.459345,0.481656,0.226621,0.580865,0.591664,0.564229,0.322784,0.584335,0.726709,0.423839,0.384881,0.316356,0.39856,0.597358,0.300916,0.269574
2522,51,0.547318,0.459638,0.422621,0.482835,0.489797,0.51048,0.667968,0.526039,0.508854,0.474625,0.370884,0.686154,0.485966,0.437605,0.373145,0.650129,0.542731,0.597386,0.561154,0.468534,0.424242,0.51198,0.341057,0.5585,0.618109,0.471289,0.361097,0.638519,0.73793,0.499899,0.355058,0.399711,0.480529,0.554414,0.340338,0.321817
2523,54,0.553607,0.491364,0.449584,0.389074,0.501007,0.516855,0.676278,0.540077,0.513539,0.526691,0.373473,0.677378,0.439953,0.456435,0.352671,0.664923,0.522704,0.607532,0.56901,0.454386,0.424886,0.505482,0.30053,0.584597,0.631632,0.507195,0.354052,0.667332,0.655324,0.47473,0.337722,0.444763,0.483893,0.569968,0.324105,0.302629
2524,52,0.526886,0.45469,0.417074,0.488732,0.528813,0.51709,0.6956,0.474891,0.483021,0.452359,0.332276,0.623758,0.498172,0.411485,0.441397,0.646898,0.530093,0.539257,0.558052,0.487453,0.505141,0.525063,0.361084,0.596302,0.662211,0.521882,0.397328,0.572508,0.795636,0.470659,0.438266,0.401363,0.440834,0.619447,0.402836,0.294749
